outcome,account,r2_holdout,beta,seed
eviction,logit,NA,NA,1
eviction,ols,0.017139333412217073,NA,1
gpa,logit,NA,NA,1
gpa,ols,0.11147784522546667,0.203067338481573,1
grit,logit,NA,NA,1
grit,ols,0.007892262145529738,0.0589024542888422,1
jobTraining,logit,NA,NA,1
jobTraining,ols,0.052126932155961536,NA,1
layoff,logit,NA,NA,1
layoff,ols,-0.0030836389608037695,NA,1
materialHardship,logit,NA,NA,1
materialHardship,ols,0.17587332976118097,0.40112931440805,1
eviction,logit,NA,NA,2
eviction,ols,0.019772955533689962,NA,2
gpa,logit,NA,NA,2
gpa,ols,0.11682082464769383,0.18695820168878,2
grit,logit,NA,NA,2
grit,ols,0.013940737782222934,0.0395718054014709,2
jobTraining,logit,NA,NA,2
jobTraining,ols,0.04645086305488122,NA,2
layoff,logit,NA,NA,2
layoff,ols,0.001152973272133817,NA,2
materialHardship,logit,NA,NA,2
materialHardship,ols,0.17581645376743438,0.315480158377636,2
eviction,logit,NA,NA,3
eviction,ols,0.018327768082138873,NA,3
gpa,logit,NA,NA,3
gpa,ols,0.10619662942163799,0.243807616184562,3
grit,logit,NA,NA,3
grit,ols,0.01345585004053318,0.0259676465831959,3
jobTraining,logit,NA,NA,3
jobTraining,ols,0.05066956264636102,NA,3
layoff,logit,NA,NA,3
layoff,ols,8.999900533243066e-4,NA,3
materialHardship,logit,NA,NA,3
materialHardship,ols,0.1757060653901048,0.400803287037641,3
eviction,logit,NA,NA,4
eviction,ols,0.020757052088159478,NA,4
gpa,logit,NA,NA,4
gpa,ols,0.09208065532700394,0.226298223500089,4
grit,logit,NA,NA,4
grit,ols,0.014539436493817282,0.0257230637114292,4
jobTraining,logit,NA,NA,4
jobTraining,ols,0.049881383461744644,NA,4
layoff,logit,NA,NA,4
layoff,ols,0.004394679539659441,NA,4
materialHardship,logit,NA,NA,4
materialHardship,ols,0.17873318692041085,0.384971768179234,4
eviction,logit,NA,NA,5
eviction,ols,0.01706791165217869,NA,5
gpa,logit,NA,NA,5
gpa,ols,0.08987597767266575,0.177663125192716,5
grit,logit,NA,NA,5
grit,ols,0.010006356492261337,0.039758961010337,5
jobTraining,logit,NA,NA,5
jobTraining,ols,0.04880455984676502,NA,5
layoff,logit,NA,NA,5
layoff,ols,0.006077312686778913,NA,5
materialHardship,logit,NA,NA,5
materialHardship,ols,0.16509885532584745,0.377900265451312,5
eviction,logit,NA,NA,6
eviction,ols,0.016408118889792545,NA,6
gpa,logit,NA,NA,6
gpa,ols,0.11736004679783774,0.208775479782878,6
grit,logit,NA,NA,6
grit,ols,0.012577599036317832,0.0523405161314011,6
jobTraining,logit,NA,NA,6
jobTraining,ols,0.044241285375579587,NA,6
layoff,logit,NA,NA,6
layoff,ols,0.005578343683294906,NA,6
materialHardship,logit,NA,NA,6
materialHardship,ols,0.1800646693845771,0.339543971855389,6
eviction,logit,NA,NA,7
eviction,ols,0.029195002894539135,NA,7
gpa,logit,NA,NA,7
gpa,ols,0.1006916821140772,0.194841722311613,7
grit,logit,NA,NA,7
grit,ols,0.017154553279225992,0.0180374985360178,7
jobTraining,logit,NA,NA,7
jobTraining,ols,0.053156758539492754,NA,7
layoff,logit,NA,NA,7
layoff,ols,4.777643498301565e-4,NA,7
materialHardship,logit,NA,NA,7
materialHardship,ols,0.17477076739844521,0.37706608635237,7
eviction,logit,NA,NA,8
eviction,ols,0.020282798817266467,NA,8
gpa,logit,NA,NA,8
gpa,ols,0.09817948465590265,0.219436667007169,8
grit,logit,NA,NA,8
grit,ols,0.006574794135873474,0.0203419213477062,8
jobTraining,logit,NA,NA,8
jobTraining,ols,0.05188525025465707,NA,8
layoff,logit,NA,NA,8
layoff,ols,0.004448161689737384,NA,8
materialHardship,logit,NA,NA,8
materialHardship,ols,0.17931643685179466,0.398562974804995,8
eviction,logit,NA,NA,9
eviction,ols,0.008919548644621522,NA,9
gpa,logit,NA,NA,9
gpa,ols,0.12239038826075788,0.184861030185675,9
grit,logit,NA,NA,9
grit,ols,0.012784368909311561,0.052912233462103,9
jobTraining,logit,NA,NA,9
jobTraining,ols,0.05509726571580753,NA,9
layoff,logit,NA,NA,9
layoff,ols,0.006582924770978327,NA,9
materialHardship,logit,NA,NA,9
materialHardship,ols,0.17757257508612356,0.371152713869556,9
eviction,logit,NA,NA,10
eviction,ols,0.009437943234602897,NA,10
gpa,logit,NA,NA,10
gpa,ols,0.11514394899619096,0.161580263272479,10
grit,logit,NA,NA,10
grit,ols,0.012870787999138433,0.0216572635840187,10
jobTraining,logit,NA,NA,10
jobTraining,ols,0.048619521456734316,NA,10
layoff,logit,NA,NA,10
layoff,ols,-0.005221224092961663,NA,10
materialHardship,logit,NA,NA,10
materialHardship,ols,0.18406108403296872,0.381327765236816,10
eviction,logit,NA,NA,11
eviction,ols,0.01978615517139848,NA,11
gpa,logit,NA,NA,11
gpa,ols,0.12365945791373678,0.176297331029044,11
grit,logit,NA,NA,11
grit,ols,0.014103906393239662,0.0295658658199174,11
jobTraining,logit,NA,NA,11
jobTraining,ols,0.05016794024356741,NA,11
layoff,logit,NA,NA,11
layoff,ols,0.004197482831141408,NA,11
materialHardship,logit,NA,NA,11
materialHardship,ols,0.16741657695238177,0.293828812826706,11
eviction,logit,NA,NA,12
eviction,ols,0.024641818518702285,NA,12
gpa,logit,NA,NA,12
gpa,ols,0.09910726492224065,0.185421564293763,12
grit,logit,NA,NA,12
grit,ols,0.019416187788761197,0.0315538478170708,12
jobTraining,logit,NA,NA,12
jobTraining,ols,0.047287527822252984,NA,12
layoff,logit,NA,NA,12
layoff,ols,0.011648587686112655,NA,12
materialHardship,logit,NA,NA,12
materialHardship,ols,0.18650453039407566,0.400107602079609,12
eviction,logit,NA,NA,13
eviction,ols,0.020288190412032114,NA,13
gpa,logit,NA,NA,13
gpa,ols,0.10593788946381588,0.216310885343356,13
grit,logit,NA,NA,13
grit,ols,0.011808236964721996,0.0257421803753536,13
jobTraining,logit,NA,NA,13
jobTraining,ols,0.05122311233203536,NA,13
layoff,logit,NA,NA,13
layoff,ols,0.003904080381817887,NA,13
materialHardship,logit,NA,NA,13
materialHardship,ols,0.18419544884097727,0.362076307407928,13
eviction,logit,NA,NA,14
eviction,ols,0.02253303836708287,NA,14
gpa,logit,NA,NA,14
gpa,ols,0.12832099459601254,0.196840172253338,14
grit,logit,NA,NA,14
grit,ols,0.009358866011490496,0.0419405135828931,14
jobTraining,logit,NA,NA,14
jobTraining,ols,0.050031673369225316,NA,14
layoff,logit,NA,NA,14
layoff,ols,8.076218464861951e-4,NA,14
materialHardship,logit,NA,NA,14
materialHardship,ols,0.17891642060773583,0.375984949594428,14
eviction,logit,NA,NA,15
eviction,ols,0.026134449728562048,NA,15
gpa,logit,NA,NA,15
gpa,ols,0.11203745351072569,0.17755615358203,15
grit,logit,NA,NA,15
grit,ols,0.016553938834930504,0.0209490809421787,15
jobTraining,logit,NA,NA,15
jobTraining,ols,0.049285780521997835,NA,15
layoff,logit,NA,NA,15
layoff,ols,0.004267761263094361,NA,15
materialHardship,logit,NA,NA,15
materialHardship,ols,0.18263613954719427,0.357471328960075,15
eviction,logit,NA,NA,16
eviction,ols,0.023948862538590854,NA,16
gpa,logit,NA,NA,16
gpa,ols,0.12222120094657607,0.17501354527648,16
grit,logit,NA,NA,16
grit,ols,0.012223944103766149,0.0582324013054695,16
