"outcome","account","r2_holdout","beta","seed"
"eviction","logit",0.0143482504324531,NA,1
"eviction","ols",0.0171393334122171,NA,1
"gpa","logit",NA,NA,1
"gpa","ols",0.111477845225467,"0.203067338481573",1
"grit","logit",NA,NA,1
"grit","ols",0.00789226214552974,"0.0589024542888422",1
"jobTraining","logit",0.0513087296408651,NA,1
"jobTraining","ols",0.0521269321559615,NA,1
"layoff","logit",0.0083085733160092,NA,1
"layoff","ols",-0.00308363896080377,NA,1
"materialHardship","logit",NA,NA,1
"materialHardship","ols",0.175873329761181,"0.40112931440805",1
"eviction","logit",0.0143698289793219,NA,2
"eviction","ols",0.01977295553369,NA,2
"gpa","logit",NA,NA,2
"gpa","ols",0.116820824647694,"0.18695820168878",2
"grit","logit",NA,NA,2
"grit","ols",0.0139407377822229,"0.0395718054014709",2
"jobTraining","logit",0.0521355935719062,NA,2
"jobTraining","ols",0.0464508630548812,NA,2
"layoff","logit",0.00849527175977705,NA,2
"layoff","ols",0.00115297327213382,NA,2
"materialHardship","logit",NA,NA,2
"materialHardship","ols",0.175816453767434,"0.315480158377636",2
"eviction","logit",0.0142730999374052,NA,3
"eviction","ols",0.0183277680821389,NA,3
"gpa","logit",NA,NA,3
"gpa","ols",0.106196629421638,"0.243807616184562",3
"grit","logit",NA,NA,3
"grit","ols",0.0134558500405332,"0.0259676465831959",3
"jobTraining","logit",0.0495288782203344,NA,3
"jobTraining","ols",0.050669562646361,NA,3
"layoff","logit",0.00905943526271924,NA,3
"layoff","ols",0.000899990053324307,NA,3
"materialHardship","logit",NA,NA,3
"materialHardship","ols",0.175706065390105,"0.400803287037641",3
"eviction","logit",0.0143589317159776,NA,4
"eviction","ols",0.0207570520881595,NA,4
"gpa","logit",NA,NA,4
"gpa","ols",0.0920806553270039,"0.226298223500089",4
"grit","logit",NA,NA,4
"grit","ols",0.0145394364938173,"0.0257230637114292",4
"jobTraining","logit",0.051712913032804,NA,4
"jobTraining","ols",0.0498813834617446,NA,4
"layoff","logit",0.00671200219824841,NA,4
"layoff","ols",0.00439467953965944,NA,4
"materialHardship","logit",NA,NA,4
"materialHardship","ols",0.178733186920411,"0.384971768179234",4
"eviction","logit",0.0143262330512148,NA,5
"eviction","ols",0.0170679116521787,NA,5
"gpa","logit",NA,NA,5
"gpa","ols",0.0898759776726658,"0.177663125192716",5
"grit","logit",NA,NA,5
"grit","ols",0.0100063564922613,"0.039758961010337",5
"jobTraining","logit",0.0505632661565987,NA,5
"jobTraining","ols",0.048804559846765,NA,5
"layoff","logit",0.00717144542751891,NA,5
"layoff","ols",0.00607731268677891,NA,5
"materialHardship","logit",NA,NA,5
"materialHardship","ols",0.165098855325847,"0.377900265451312",5
"eviction","logit",0.0142479763802775,NA,6
"eviction","ols",0.0164081188897925,NA,6
"gpa","logit",NA,NA,6
"gpa","ols",0.117360046797838,"0.208775479782878",6
"grit","logit",NA,NA,6
"grit","ols",0.0125775990363178,"0.0523405161314011",6
"jobTraining","logit",0.0481919570062588,NA,6
"jobTraining","ols",0.0442412853755796,NA,6
"layoff","logit",0.00624753189158322,NA,6
"layoff","ols",0.00557834368329491,NA,6
"materialHardship","logit",NA,NA,6
"materialHardship","ols",0.180064669384577,"0.339543971855389",6
"eviction","logit",0.0143971395806459,NA,7
"eviction","ols",0.0291950028945391,NA,7
"gpa","logit",NA,NA,7
"gpa","ols",0.100691682114077,"0.194841722311613",7
"grit","logit",NA,NA,7
"grit","ols",0.017154553279226,"0.0180374985360178",7
"jobTraining","logit",0.0474389306277022,NA,7
"jobTraining","ols",0.0531567585394928,NA,7
"layoff","logit",0.0088609163228971,NA,7
"layoff","ols",0.000477764349830156,NA,7
"materialHardship","logit",NA,NA,7
"materialHardship","ols",0.174770767398445,"0.37706608635237",7
"eviction","logit",0.0141782948063283,NA,8
"eviction","ols",0.0202827988172665,NA,8
"gpa","logit",NA,NA,8
"gpa","ols",0.0981794846559026,"0.219436667007169",8
"grit","logit",NA,NA,8
"grit","ols",0.00657479413587347,"0.0203419213477062",8
"jobTraining","logit",0.0497589897484848,NA,8
"jobTraining","ols",0.0518852502546571,NA,8
"layoff","logit",0.00799507065119198,NA,8
"layoff","ols",0.00444816168973738,NA,8
